Format Version,1.24,Take Name,Take 2026-08-04 03.39.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.39.03.026 ,Capture Start Frame,964696,Total Frames in Take,8024,Total Exported Frames,8024,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237
,ID,,"253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
133,1.108333,15:40:10:09.02,-92.021217,311.561279,134.112701,-92.196312,318.431030,134.558502,-92.022537,313.830017,137.267563,,,
134,1.116667,15:40:10:09.03,-92.019341,311.561218,134.112076,-92.195267,318.430817,134.558243,-92.021446,313.830475,137.268524,,,
135,1.125000,15:40:10:10.00,-92.020760,311.560974,134.112366,-92.195068,318.430603,134.558304,-92.022057,313.830627,137.268005,,,
136,1.133333,15:40:10:10.01,-92.021423,311.560883,134.113647,-92.197052,318.433289,134.559906,-92.021591,313.829895,137.267853,,,
137,1.141667,15:40:10:10.02,-92.020378,311.559814,134.112717,-92.195366,318.432678,134.558334,-92.022041,313.829437,137.267029,,,
138,1.150000,15:40:10:10.03,-92.022011,311.561279,134.112900,-92.196014,318.431915,134.558685,-92.021286,313.829956,137.268433,,,
139,1.158333,15:40:10:11.00,-92.021210,311.561096,134.113007,-92.196182,318.431824,134.559677,-92.021820,313.829742,137.267868,,,
140,1.166667,15:40:10:11.01,-92.021774,311.561157,134.113144,-92.195839,318.432373,134.559189,-92.021179,313.830688,137.268906,,,
141,1.175000,15:40:10:11.02,-92.019234,311.560883,134.112625,-92.193527,318.432251,134.556046,-92.022621,313.829498,137.268066,,,
142,1.183333,15:40:10:11.03,-92.020828,311.560852,134.112015,-92.194092,318.432343,134.555893,-92.029037,313.829926,137.269135,,,
